filename,tsne_dim1,tsne_dim2
DB0-m2_o1_o11_f0_nbo.sym.89_repeat,76.985115,0.20896257
DB0-m2_o1_o11_f0_nbo.sym.9_repeat,69.53181,-3.7419426
DB0-m2_o1_o11_f0_nbo.sym.90_repeat,69.39869,-9.677219
DB0-m2_o1_o11_f0_nbo.sym.91_repeat,73.32398,-0.65247166
DB0-m2_o1_o11_f0_nbo.sym.92_repeat,70.182556,-9.623434
DB0-m2_o1_o11_f0_nbo.sym.94_repeat,60.828335,16.42216
DB0-m2_o1_o14_f0_nbo.sym.10_repeat,67.19913,-12.218346
DB0-m2_o1_o14_f0_nbo.sym.100_repeat,66.70032,-1.930296
DB0-m2_o1_o14_f0_nbo.sym.102_repeat,55.617805,19.396421
DB0-m2_o1_o14_f0_nbo.sym.104_repeat,52.071064,-8.57226
DB0-m2_o1_o14_f0_nbo.sym.105_repeat,48.413532,-7.6660767
DB0-m2_o1_o14_f0_nbo.sym.107_repeat,50.56424,-6.6120343
DB0-m2_o1_o14_f0_nbo.sym.109_repeat,49.872536,10.2655115
DB0-m2_o1_o14_f0_nbo.sym.11_repeat,55.635498,-8.678604
DB0-m2_o1_o14_f0_nbo.sym.110_repeat,50.35697,11.734526
DB0-m2_o1_o14_f0_nbo.sym.114_repeat,66.27115,-7.172429
DB0-m2_o1_o14_f0_nbo.sym.115_repeat,71.3395,-6.676246
DB0-m2_o1_o14_f0_nbo.sym.116_repeat,71.86294,22.750729
DB0-m2_o1_o14_f0_nbo.sym.118_repeat,81.92386,4.2145877
DB0-m2_o1_o14_f0_nbo.sym.119_repeat,74.97666,-10.680144
DB0-m2_o1_o14_f0_nbo.sym.12_repeat,67.134026,-12.2151375
DB0-m2_o1_o14_f0_nbo.sym.121_repeat,65.255585,-6.405419
DB0-m2_o1_o14_f0_nbo.sym.122_repeat,59.16207,-3.4365282
DB0-m2_o1_o14_f0_nbo.sym.123_repeat,61.293606,-6.822546
DB0-m2_o1_o14_f0_nbo.sym.124_repeat,61.714054,-4.2894382
DB0-m2_o1_o14_f0_nbo.sym.126_repeat,61.322353,-6.835672
DB0-m2_o1_o14_f0_nbo.sym.13_repeat,71.47691,-6.9828715
DB0-m2_o1_o14_f0_nbo.sym.130_repeat,67.22539,-4.0613794
DB0-m2_o1_o14_f0_nbo.sym.131_repeat,46.0282,14.666743
DB0-m2_o1_o14_f0_nbo.sym.132_repeat,61.347332,34.115707
DB0-m2_o1_o14_f0_nbo.sym.133_repeat,61.476547,13.430049
DB0-m2_o1_o14_f0_nbo.sym.134_repeat,75.40517,-11.266543
DB0-m2_o1_o14_f0_nbo.sym.135_repeat,70.990204,-10.310729
DB0-m2_o1_o14_f0_nbo.sym.136_repeat,71.2456,-7.7667823
DB0-m2_o1_o14_f0_nbo.sym.137_repeat,23.350336,6.71217
DB0-m2_o1_o14_f0_nbo.sym.138_repeat,56.07245,-1.8905767
DB0-m2_o1_o14_f0_nbo.sym.14_repeat,71.19944,-9.708442
DB0-m2_o1_o14_f0_nbo.sym.140_repeat,67.45163,-4.0887036
DB0-m2_o1_o14_f0_nbo.sym.141_repeat,68.979645,-2.830531
DB0-m2_o1_o14_f0_nbo.sym.143_repeat,41.133717,3.6974833
DB0-m2_o1_o14_f0_nbo.sym.144_repeat,69.37314,-6.1290007
DB0-m2_o1_o14_f0_nbo.sym.146_repeat,69.34716,-5.819157
DB0-m2_o1_o14_f0_nbo.sym.147_repeat,68.61452,8.164844
DB0-m2_o1_o14_f0_nbo.sym.148_repeat,68.5846,8.543358
DB0-m2_o1_o14_f0_nbo.sym.15_repeat,73.24312,-9.067113
DB0-m2_o1_o14_f0_nbo.sym.150_repeat,72.59152,27.377583
DB0-m2_o1_o14_f0_nbo.sym.154_repeat,69.61836,-6.8054304
DB0-m2_o1_o14_f0_nbo.sym.157_repeat,70.457535,-9.305091
DB0-m2_o1_o14_f0_nbo.sym.158_repeat,70.76267,-10.431001
DB0-m2_o1_o14_f0_nbo.sym.159_repeat,70.51686,-10.461654
DB0-m2_o1_o14_f0_nbo.sym.16_repeat,75.45091,11.381445
DB0-m2_o1_o14_f0_nbo.sym.160_repeat,62.175575,-1.6357714
DB0-m2_o1_o14_f0_nbo.sym.161_repeat,71.677864,-10.612202
DB0-m2_o1_o14_f0_nbo.sym.162_repeat,58.62411,4.08962
DB0-m2_o1_o14_f0_nbo.sym.163_repeat,59.98741,3.973395
DB0-m2_o1_o14_f0_nbo.sym.164_repeat,62.49714,3.1685147
DB0-m2_o1_o14_f0_nbo.sym.165_repeat,72.5236,3.6480548
DB0-m2_o1_o14_f0_nbo.sym.167_repeat,72.66436,-7.742868
DB0-m2_o1_o14_f0_nbo.sym.17_repeat,71.22714,-10.758769
DB0-m2_o1_o14_f0_nbo.sym.18_repeat,73.298386,-10.848404
DB0-m2_o1_o14_f0_nbo.sym.19_repeat,62.34313,1.665865
DB0-m2_o1_o14_f0_nbo.sym.2_repeat,74.05638,-8.651477
DB0-m2_o1_o14_f0_nbo.sym.20_repeat,71.33805,-2.4046586
DB0-m2_o1_o14_f0_nbo.sym.21_repeat,72.96223,23.418741
DB0-m2_o1_o14_f0_nbo.sym.23_repeat,70.32447,-6.269991
DB0-m2_o1_o14_f0_nbo.sym.24_repeat,65.245415,14.651396
DB0-m2_o1_o14_f0_nbo.sym.25_repeat,64.05609,14.181805
DB0-m2_o1_o14_f0_nbo.sym.26_repeat,73.602554,-14.88502
DB0-m2_o1_o14_f0_nbo.sym.27_repeat,73.37848,-14.920673
DB0-m2_o1_o14_f0_nbo.sym.28_repeat,73.838684,-12.464323
DB0-m2_o1_o14_f0_nbo.sym.29_repeat,73.04475,-14.761925
DB0-m2_o1_o14_f0_nbo.sym.3_repeat,74.53121,-11.904194
DB0-m2_o1_o14_f0_nbo.sym.30_repeat,67.3589,-12.172599
DB0-m2_o1_o14_f0_nbo.sym.31_repeat,51.78333,-8.398543
DB0-m2_o1_o14_f0_nbo.sym.32_repeat,50.458897,-7.9983106
DB0-m2_o1_o14_f0_nbo.sym.33_repeat,55.4965,-8.440551
DB0-m2_o1_o14_f0_nbo.sym.34_repeat,70.6593,-10.417941
DB0-m2_o1_o14_f0_nbo.sym.35_repeat,59.773247,1.5120203
DB0-m2_o1_o14_f0_nbo.sym.36_repeat,61.32131,0.929083
DB0-m2_o1_o14_f0_nbo.sym.37_repeat,63.454533,3.2777123
DB0-m2_o1_o14_f0_nbo.sym.38_repeat,79.359375,-10.373915
DB0-m2_o1_o14_f0_nbo.sym.39_repeat,63.458767,3.2395391
DB0-m2_o1_o14_f0_nbo.sym.4_repeat,79.21412,-10.292919
DB0-m2_o1_o14_f0_nbo.sym.40_repeat,70.0615,-4.433616
DB0-m2_o1_o14_f0_nbo.sym.41_repeat,72.723366,3.41821
DB0-m2_o1_o14_f0_nbo.sym.42_repeat,72.66614,-7.4342036
DB0-m2_o1_o14_f0_nbo.sym.43_repeat,65.31956,19.318438
DB0-m2_o1_o14_f0_nbo.sym.44_repeat,64.878914,14.672511
DB0-m2_o1_o14_f0_nbo.sym.45_repeat,75.182495,-10.928802
DB0-m2_o1_o14_f0_nbo.sym.46_repeat,69.197556,-4.5315185
DB0-m2_o1_o14_f0_nbo.sym.48_repeat,69.085945,-4.4734855
DB0-m2_o1_o14_f0_nbo.sym.49_repeat,63.72038,0.47179592
DB0-m2_o1_o14_f0_nbo.sym.5_repeat,67.49662,-1.8864958
DB0-m2_o1_o14_f0_nbo.sym.50_repeat,69.07766,-5.6807733
DB0-m2_o1_o14_f0_nbo.sym.51_repeat,59.603897,2.4667315
DB0-m2_o1_o14_f0_nbo.sym.52_repeat,58.69311,3.0572314
DB0-m2_o1_o14_f0_nbo.sym.53_repeat,58.969265,18.214314
DB0-m2_o1_o14_f0_nbo.sym.54_repeat,69.83723,-2.8288674
